id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24084526,Large sunny room with queen sized bed &near subway,157408457,Lisa & Benson,,York University Heights,43.752624319976725,-79.50774310678405,Private room,40,1,0,,,3,171
23663025,329 room at York University Subway around,43488381,Runying,,York University Heights,43.768862317054754,-79.49809901622471,Private room,28,2,3,2018-03-29,3,33,340
23843646,North York Private Basement Room i,126037968,Lisa,,York University Heights,43.76397048492756,-79.50488354480787,Private room,26,1,1,2018-03-29,1,7,178
23187462,046 Room at York University Subway around,43488381,Runying,,York University Heights,43.766707234129065,-79.50439485060993,Private room,29,3,0,,,33,344
23905923,036 Room at York University Subway around,43488381,Runying,,York University Heights,43.76617598367387,-79.50495534294602,Private room,29,1,0,,,33,365
22310332,York University Private Room ladies and girls only,154736187,Lien,,York University Heights,43.75119685984525,-79.50103822947023,Private room,26,1,3,2018-03-15,0.91,4,0
15790625,Cozy Condo Near Subway and Major Highways,102150863,Tara,,York University Heights,43.752664188775306,-79.46592031912914,Entire home/apt,98,2,7,2017-02-15,0.42,1,0
22063311,Private basement room near york u,44098156,Jay,,York University Heights,43.76653578191139,-79.50004114038116,Private room,26,1,5,2018-02-11,1.18,5,86
24171704,026 room at York University Subway around,43488381,Runying,,York University Heights,43.767570091113974,-79.50348079521977,Private room,28,1,1,2018-04-07,1,33,365
24135159,316 bright  room at York University,43488381,Runying,,York University Heights,43.768206170448465,-79.50471483734462,Private room,38,1,0,,,33,331
24097401,016 room at York University Subway around,43488381,Runying,,York University Heights,43.765872569870034,-79.50411032591758,Private room,27,2,0,,,33,338
22063225,Clean private basement room near York U i,44098156,Jay,,York University Heights,43.7680332419639,-79.50127877197875,Private room,26,1,2,2018-02-17,0.49,5,65
12836532,Nice Private Room in north york.,44098156,Jay,,York University Heights,43.76803924174777,-79.50126847759728,Private room,40,1,20,2018-02-11,0.86,5,328
18477472,Private simple room,121230803,Dogan,,York University Heights,43.75826284997355,-79.49220565497824,Private room,35,3,9,2018-03-31,0.80,2,365
1182952,Cozy Room close to York University,6471063,Maria Clemencia,,York University Heights,43.765992421679684,-79.49931807950551,Private room,77,3,0,,,1,89
23849383,North York Private Basement Room ii,126037968,Lisa,,York University Heights,43.76451649047486,-79.50388514635262,Private room,26,1,2,2018-03-26,2,7,81
21699256,Rooms for Rent in 10 Bedroom Luxury Living,157967471,Jonex,,York University Heights,43.74976062300422,-79.50360177290257,Private room,60,1,0,,,1,179
9648319,"Garden B.R.-double bed, ground fl.",12738823,David And Nicole,,York University Heights,43.75207602223993,-79.49336377120721,Private room,35,1,57,2018-04-01,2.11,1,76
21963979,North York Upscale Apartment,160346680,Korabani,,York University Heights,43.76948974189518,-79.50130320679116,Private room,60,3,3,2018-01-16,0.74,1,350
23293238,Private washroom-basement room steps to York U,126037968,Lisa,,York University Heights,43.766913035082865,-79.5006653731043,Private room,22,1,1,2018-02-18,0.59,7,78
19660231,Queen (Bed)room + large closet @ York University,30753730,Jeishan,,York University Heights,43.76719172903851,-79.50233680277721,Private room,45,2,4,2018-01-01,0.54,10,205
10719537,"Comfy Bedroom @ York University, Toronto",30753730,Jeishan,,York University Heights,43.7679912844214,-79.50215685519633,Private room,40,2,23,2018-01-01,0.88,10,254
6017439,"Sunny Bedroom @ York University, Toronto",30753730,Jeishan,,York University Heights,43.768550469190004,-79.50275315057223,Private room,40,2,30,2018-02-08,0.87,10,137
23186090,116 bright room at York U Subway around,43488381,Runying,,York University Heights,43.76755828781804,-79.5032573882445,Private room,35,2,4,2018-03-18,2.26,33,359
23349585,229 room at York University Subway around,43488381,Runying,,York University Heights,43.768618903724125,-79.49774248530859,Private room,40,1,3,2018-03-13,1.84,33,344
23799608,046 Room at York University Subway around,43488381,Runying,,York University Heights,43.76673128636577,-79.50424577463654,Private room,29,1,0,,,33,365
21595749,約克大學 York university village 明亮套房,72198554,SuLan,,York University Heights,43.76664011290997,-79.49925280318719,Private room,45,1,4,2017-12-06,0.89,1,0
24139879,026 room at York University Subway around,43488381,Runying,,York University Heights,43.7667309293563,-79.50471602024629,Private room,35,1,0,,,33,341
24077857,246  at York University Subway around,43488381,Runying,,York University Heights,43.76603653055141,-79.5041427369113,Private room,40,1,1,2018-04-03,1,33,365
24097651,019 Room at York University Sunday around,43488381,Runying,,York University Heights,43.76592133254674,-79.49702770604665,Private room,27,1,0,,,33,343
23905819,339 room at York University Subway Around,43488381,Runying,,York University Heights,43.767022459857095,-79.49724319630702,Private room,29,1,1,2018-04-02,1,33,365
24114342,036 room at York University Subway at door,43488381,Runying,,York University Heights,43.76754302018467,-79.50272875604347,Private room,29,1,1,2018-04-02,1,33,341
23972085,226 room at York University,43488381,Runying,,York University Heights,43.7661222081142,-79.50408900835176,Private room,40,1,0,,,33,365
23226417,A4-Cozy Room (Finch West Subway & York University),170643172,Cozy Hostel,,York University Heights,43.75091593682343,-79.50341940018707,Private room,33,7,0,,,7,255
22506985,York University Family Room 2 Comfortable beds,154736187,Lien,,York University Heights,43.75267288670607,-79.49923366807046,Private room,29,1,3,2018-03-02,1.02,4,0
22151214,York U townhouse room,40322915,Stephanie,,York University Heights,43.76446279310432,-79.49792317732131,Private room,65,1,1,2018-01-17,0.36,2,23
6849449,(7) Bright room with balcony @ York Uni Toronto,24346665,Shanny,,York University Heights,43.770559082563814,-79.49989856192896,Private room,40,2,5,2017-06-07,0.21,8,221
