id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.646167661556824,-79.42451012783086,Entire home/apt,470,4,7,2017-12-04,0.19,1,0
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64105126982716,-79.37627700577787,Private room,98,180,170,2013-08-27,1.56,2,365
10314,Union Inn II (Leslieville),35505,Douglas & Annie,,South Riverdale,43.670185503701774,-79.33584783585275,Private room,69,1,77,2016-08-18,0.71,1,296
12604,Seaton Village Parlour Bedroom,48239,Rona,,Annex,43.667240686103376,-79.41597756109105,Private room,65,1,0,,,1,0
17936,Private Room in Downtown Toronto,69169,Sofia,,Kensington-Chinatown,43.656399885263255,-79.40329494140845,Private room,99,2,116,2018-06-11,1.18,2,23
23691,Queen Bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69601674127723,-79.4546827470826,Private room,70,1,201,2018-07-02,2.02,2,315
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,Greenwood-Coxwell,43.66890104035062,-79.32592045066609,Entire home/apt,55,120,26,2011-08-30,0.26,1,0
28160,"Luxury,Safety, Affordability For Women Travellers!",86838,Rita,,Mount Pleasant West,43.70410154158459,-79.3902626406518,Entire home/apt,85,30,6,2017-09-30,0.17,1,340
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.641512065757325,-79.37643460038227,Entire home/apt,130,180,1,2010-08-11,0.01,2,365
40456,Entire Suite in Downtown+Parking,174063,Denis,,South Parkdale,43.63532282971682,-79.44049289722096,Entire home/apt,125,28,97,2018-08-01,0.99,3,351
41887,Great location,183071,Kyle,,Oakridge,43.69458078816815,-79.28680598689006,Entire home/apt,75,2,63,2018-07-24,3.05,2,233
42892,Downtown 2 Bedroom + Den next to Union & Harbour,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.64451421046904,-79.38184533849807,Entire home/apt,135,29,0,,,15,306
