listing_id,id,date,reviewer_id,reviewer_name,comments
955446,4964072,2013-06-04,4463758,Jason,"Everything was exactly like the pictures.  Great place, great locations.  Rogers Center, CN Tower, Wayne Gretzky's, Starbucks, Convenience Store, Dry-cleaners, are all close by.  His place had all the necessities.

I would definitely recommend it to anyone traveling to Toronto.  The price was very reasonable.  Sam was responsive upon my arrival and helped me with any issues I had.

Great place!

"
955446,5780138,2013-07-16,1783112,Carolyn,"The place was super clean and tastefully decorated. Everything we needed was available, down to the details like laundry soap, and nice extras like coffee and sugar.  Sam always got back to us quickly and was so helpful.  Wonderful convenient location!
We will definitely stay there again next summer!
Thanks,
Carolyn"
955446,5898696,2013-07-21,6714903,Cyndi,"Sam's condo was perfect and Sam was a pleasure to work with.  He always responded super fast, was flexible and always very positive.  The condo itself is in a great location- steps away from King Street, The CN Tower, Rogers Centre, Second City, the TTC and more.  It is a comfy home away from home stocked with all the important and little things you want and need.  From super comfy sheets to a well equipped kitchen and of course wifi- I would highly recommend the condo.    The building is modern, has 24 hour security, parking underground, an indoor pool and recreation area, and a rooftop patio with grills available.  I will definitely stay here again."
955446,6029317,2013-07-27,1804358,Gwendolyn (Wendy),"The apartment was as described and pictured, although we were a bit surprised to find that the living room overlooked a power station across the street.  The apartment was very clean, but we were only left with 2 sets of towels for the 4 of us....luckily we were able to get two more from a storage cabinet without too much hassle.  We did have a challenge figuring out the parking situation.  It took us a while to find the entry door for the underground garage and then we had to figure out how to get someone to open it for us.  Luckily, the guards at the ground floor entry were able to help us.  The garage itself requires very tight turning as you go down 4 levels to the parking spot (we had a minivan, so this was a bit challenging).  Our next challenge (since we hadn't yet picked up the keys) was getting out of the garage.  We found out that the elevator access requires the key fob which we did not have yet and the parking space is 4 levels below ground and all stairwells have door that lock behind you when you enter them.  We ended up pulling our luggage up the parking garage until we found someone who was able to let us into the elevator bay which got us to the apartment building lobby so that we could finally pick up the keys/key fob.  In terms of getting around Toronto, we were able to walk to almost everything and found the Queen Street street car very easy to use when we went to the Beaches Jazz Festival.  The streets around the apartment felt very safe even when arriving back late at night.  All in all, we enjoyed our stay, but would have appreciated getting clearer instructions about arriving/key pickup/parking.  "
955446,6407802,2013-08-11,9980,Barb,Location. Location. Location! Sam's apartment was just what my 2 friends and I needed for our first visit to Toronto.  We were very comfortable in the unit.  The kitchen had everything we needed. Figuring out the tv was a challenge. It should have a manual. The bed in the bedroom was really comfortable. There were so many bars and restaurants in walking distance. We always felt safe walking the streets. The CN Tower is 2 blocks away and the hop on sightseeing bus was great!  Second City was steps away from the back entrance. We had a great time in Toronto! 
955446,8557867,2013-11-04,9537009,Roland,The reservation was canceled 48 days before arrival. This is an automated posting.
955446,12495656,2014-05-04,11725852,Junhong,"Having lived in downtown Toronto for 5 months as a student, I can definitely say that Sam's apartment is in an extremely good location. Most of the places of interests and attractions (CN tower, Rogers Centre, Eaton Centre) are within 10-15 minutes walking time. It is very easy to go to the entertainment district and the spadina chinatown. Any further and you might wanna take the subway which is a mere 5 minutes away on foot. 

The Condominium and apartment itself feels almost brand new. I would say that it can comfortably accomodate 5-6 people. Almost everything you need is provided for (towels, fresh sheets, kitchen utensils, washer + dryer). We even used the kitchen to prepare a few meals during our stay. The Futon bed looks small in the photo but was surprisingly spacious and sleeps 2 comfortably. 

Overall, this is the best airbnb apartment i've stayed in and would recommend it to anyone who is looking for value-for-money accomodation in downtown Toronto.
"
955446,12678152,2014-05-07,13719869,Abdullah,"The place is beautiful and its location is perfect. Everything is near. The kitchen is fully equipped and nice. We had a place to park our car so it was very convenient.

A bit expensive though!"
955446,15023635,2014-07-01,10385306,Faisal,"The cono was very commfortable and well equiped for long/sort term visitors, everything is around, reachable, accesable comfortably.

Sam was helpull and good person who would like to help in good and not costing both of us.

In addition Sam""s responses were received in very short time (emails, SMS or even via Whats app).


The only one thing that I wasn't convenient with is the cleaning cost is much greater than the housemade outcomes!! especially the balcony was dusty and well cleaned and she refused to clean it because it is out of her scope of work, in addition she didn't cleaned (take out the water from the fridge that produced due to the humidity of it and there is not external drainage to drop out the water drops).

All on all everything  was good, and you'll feel you are in the heart of Toronto (near to blue Jays stadium, Rogers, CN tower, ...........) while you are sitting in the balcony.

The building was secured 24 hrs, and your parking is the same, the internet was fast and available 24hrs/day.



"
955446,19404281,2014-09-12,1669751,Eloisa,"Sam was a great host, all was as we agreed and there was not one problem. Hopefully we will be back next time"
955446,20984182,2014-10-08,7326742,Adam,The reservation was canceled the day before arrival. This is an automated posting.
955446,21536067,2014-10-19,13220153,Craig,"Sam was a fantastic host and did everything to make our stay as easy as possible. He accomodated last minute chenges of dates and a late check-out without the slightest fuss, and for a family with young kids, that was a huge bonus. 
This great apartment is also in a great area and a very short walk to all of the best things that downtown Toronto has to offer. We would recommend Sam unreservedly."
955446,24682973,2015-01-01,2919142,Kestutis,"We slept 5 full-grown guys in this space: 2 in bedroom, one on fouton, one on couch, one on a beefy aero-bed (provided by the unit).  Place is nice; great location.  This place is strictly a rental (i.e., no one lives here).  That's good (clean), but:  

* We were only provided 2 towels for 5 people
* No shampoo or shower soap (had to buy).
* No extra linens, covers, or pillows for guys on couch/aerobed.

Sam was nice (allowed us to check out late and sleep in), though not that great at keeping in touch.  I think he is pretty hands-off with the place."
955446,31679959,2015-05-08,32505542,Katherine,"Sam was very accommodating with a last-minute booking! He was helpful and his apartment was in great condition and in such an amazing location. The concierge in his building was SO helpful. I stayed at his place for a week and would return in a heartbeat if I ever return to Toronto! Bring your own soap, shampoo, and conditioner though :)"
955446,32361840,2015-05-17,17299278,Daniel,"Great location, within walking distance of everything. When we had trouble figuring out the AC, Sam responded instantly and helped us get everything figured out. Very approachable and responsive, would definitely stay here again!"
955446,34808675,2015-06-12,30345263,Anneth,The host canceled this reservation 48 days before arrival. This is an automated posting.
955446,45371909,2015-09-02,28872733,Michelle,"Appartement très confortable et bien équipé ,très agréable à vivre ! C était très bien ! 
C était la première fois que je réservais avec Airbnb je ne suis pas déçue. J aurais aimé être reçue par le propriétaire que nous n avons pas vu ! 
Petit bémol malgré tout : la centrale électrique en face de l appartement qui génère un ronronnement constant.
A une autre fois peut être !"
955446,48357289,2015-09-25,7994877,Dylan,"Nice apartment that was as advertised. Good building in a good location. Sam was easy to communicate with, wouldn't hesitate to stay again."
955446,50144523,2015-10-09,45806543,Eric,"The condo was perfectly located for our conference, and was exactly as advertised.  Thanks Sam."
955446,50569118,2015-10-12,45755308,Penny,This apartment is great!!! It is actually make u like u r at home. And it's only a 3-min-walk to CN tower and 10-min-walk to Chinatown. It is really comfortable as well.
955446,73211525,2016-05-07,65974538,Marvin,"I absolutely loved this condo. I came to toronto to attend a wedding and when I invited the groom over,he immediately said he would like to get ready for his wedding at Sam's condo because his condo was cramped and ours was spacious. Even the wedding photographer loved this condo. there was also a good view of the CN tower from the balcony.plus there is a gym ,sauna and pool in the building.i would definitely recommend stayin here."
955446,76061702,2016-05-24,69265787,Davilmar,The place was nice and clean in nice area would come back 
