id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.646167661556824,-79.42451012783086,Entire home/apt,469,4,7,2017-12-04,0.19,1,0
10314,Union Inn II (Leslieville),35505,Douglas & Annie,,South Riverdale,43.670185503701774,-79.33584783585275,Private room,70,1,77,2016-08-18,0.72,1,263
12604,Seaton Village Parlour Bedroom,48239,Rona,,Annex,43.667240686103376,-79.41597756109105,Private room,66,1,0,,,1,0
17936,Private Room in Downtown Toronto,69169,Sofia,,Kensington-Chinatown,43.656399885263255,-79.40329494140845,Private room,98,2,116,2018-06-11,1.19,2,71
23691,Queen Bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69601674127723,-79.4546827470826,Private room,75,1,200,2018-06-24,2.03,2,318
26654,"World Class downtown@ CN Tower! Jays,Invictus,ACC",113345,Adela,,Waterfront Communities-The Island,43.64530469992652,-79.3894036218733,Entire home/apt,198,2,32,2018-06-27,0.35,7,342
28160,"Luxury,Safety, Affordability For Women Travellers!",86838,Rita,,Mount Pleasant West,43.70410154158459,-79.3902626406518,Entire home/apt,85,30,6,2017-09-30,0.18,1,362
40456,Entire Suite in Downtown+Parking,174063,Denis,,South Parkdale,43.63532282971682,-79.44049289722096,Entire home/apt,125,28,96,2017-12-20,0.99,3,327
41887,Great location,183071,Kyle,,Oakridge,43.69458078816815,-79.28680598689006,Entire home/apt,70,2,54,2018-06-18,2.76,2,219
43964,Bright entire 2-bedrm basement suite private entry,192364,Mitra,,Wexford/Maryvale,43.74858426311882,-79.29111476151608,Entire home/apt,110,1,20,2018-06-25,1.09,1,291
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Rosedale-Moore Park,43.67184558616503,-79.38583124645538,Entire home/apt,130,1,37,2018-05-28,0.39,13,317
44469,Yonge & Bloor 2 Bedroom Apartment,195095,Urbano,,Rosedale-Moore Park,43.67136294798986,-79.38597924665137,Private room,120,1,8,2017-08-27,0.10,13,313
45399,Fountain View Studio - Eaton center,195095,Urbano,,Church-Yonge Corridor,43.659718712346795,-79.38171592414366,Entire home/apt,130,1,54,2018-04-17,0.58,13,308
45453,Yonge & Bloor 2 Bedroom Master,195095,Urbano,,Rosedale-Moore Park,43.67191110057963,-79.38584832890584,Private room,120,1,6,2017-08-23,0.07,13,309
45893,Yonge & Bloor Lakeview Master BR  ,195095,Urbano,,Rosedale-Moore Park,43.671049109962105,-79.38480983819419,Private room,96,1,16,2018-06-17,0.17,13,200
50110,Yorkville one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66898642118456,-79.38547683587745,Entire home/apt,160,1,31,2018-06-02,0.33,13,316
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.642957070445036,-79.4045082155761,Private room,80,1,16,2018-06-17,0.69,1,70
64003,Downtown Toronto 4BR Townhouse,312769,Jerome,,Moss Park,43.65954915765626,-79.36700723178974,Entire home/apt,315,3,62,2018-06-26,0.68,1,23
64645,Furnished Heritage Suite Downtown 4,304551,Kintoo,,Niagara,43.64585300409799,-79.40853474931316,Private room,88,20,10,2016-07-19,0.12,2,311
65238,Zen South Bedroom in Quiet Art-Filled Home,318911,Magali Michèle,,Palmerston-Little Italy,43.65852603758183,-79.4270916204065,Private room,57,3,42,2018-06-25,0.48,2,119
69464,Yonge & Bloor one bedroom Condo,195095,Urbano,,Rosedale-Moore Park,43.67094226574906,-79.38580663698613,Entire home/apt,150,1,28,2018-05-26,0.31,13,306
71118,Furnished Heritage Suite Downtown 5,304551,Kintoo,,Niagara,43.64597004809148,-79.40766308505418,Private room,95,6,10,2015-07-01,0.11,2,230
75051,"GreatSpace,Backyard, 5min to Subway",368707,Sandra,,Dufferin Grove,43.65956002308443,-79.4322766425033,Entire home/apt,145,5,270,2018-06-30,3.04,1,224
77021,Private Room in Downtown,69169,Sofia,,Kensington-Chinatown,43.65661861090042,-79.40333536984808,Private room,67,1,32,2014-09-28,0.36,2,361
84151,North City View Yonge/Bloor,195095,Urbano,,Church-Yonge Corridor,43.670330327166845,-79.38612494766932,Entire home/apt,120,1,24,2017-07-02,0.29,13,268
89575,Private bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69661555522992,-79.45324963409608,Private room,60,1,75,2018-06-28,0.93,2,339
96336,John & Bren's Queen West 3 bedroom townhouse,511506,John,,Niagara,43.64457885419975,-79.41021775856338,Entire home/apt,230,3,87,2018-05-27,1.52,1,245
98136,Two Bedroom House on Toronto Island,518383,Anthea,,Waterfront Communities-The Island,43.632661890498376,-79.35615786852607,Entire home/apt,300,3,52,2018-05-22,0.61,1,31
104096,Hip and modern family-friendly home,349172,Avery,,South Riverdale,43.66526606172544,-79.32934372341167,Entire home/apt,174,5,17,2017-08-12,0.20,1,279
104722,Annex apartment - with great deck!,455397,Carly,,Annex,43.67175120947654,-79.40398464895661,Entire home/apt,160,2,5,2017-08-07,0.15,1,278
112842,Gorgeous Condo near High Park!!,575127,Micheline,,High Park North,43.656229884774746,-79.46666904320044,Entire home/apt,55,120,12,2017-03-05,0.15,1,247
119441,STYLISH  LAKEVIEW APT. +PARKING,174063,Denis,,South Parkdale,43.63559258703246,-79.44047778653966,Entire home/apt,250,28,75,2018-06-02,0.87,3,325
120907,* Bright * Simple * Spacious * ,607709,Helena,,Trinity-Bellwoods,43.65274454528766,-79.4210613970581,Entire home/apt,91,2,86,2017-10-01,1.20,1,32
122492,Sunny & Stylish Aprtmnt w easy access to dwntwn,613837,Brett,,Danforth East York,43.688724988496254,-79.32989656200445,Entire home/apt,79,3,90,2018-06-06,1.42,1,305
127380,"pleasant apt, centrally located",630920,Peggy,,Yonge-Eglinton,43.70370425342168,-79.40820376988661,Private room,60,1,114,2018-07-02,1.37,1,349
137099,Beautiful 3 Bedroom Home in Little Italy!,149566,Vinita + Joe,,Palmerston-Little Italy,43.657809628522436,-79.42065223772205,Entire home/apt,240,5,10,2017-08-12,0.12,2,276
138006,** Style & History in Downtown Toronto **,605569,Daz & Lyli,,Church-Yonge Corridor,43.65686887691068,-79.37495118192949,Private room,83,2,238,2018-06-28,3.45,1,41
138613,Warm Family Home Downtown Toronto,676621,Jodi,,Little Portugal,43.64775521735152,-79.42709258125016,Entire home/apt,180,3,5,2016-10-07,0.06,1,0
143107,Bloor Spadina St. George Subway,694553,Veronika,,Annex,43.66756233448153,-79.40129739757076,Private room,67,7,11,2016-09-01,0.14,1,308
146601,Modern 1BR Downtown - Blue Jays Way,436139,Brian,,Waterfront Communities-The Island,43.645509426313254,-79.3927428428562,Entire home/apt,120,6,7,2015-06-28,0.08,1,187
148945,Downtown Toronto Near Lake Ontario,718884,John,,Waterfront Communities-The Island,43.64835467914463,-79.36301772160975,Private room,79,3,22,2018-03-31,0.26,1,192
149420,Bloor West Village 1 Bedroom ,666759,Jeannie,,High Park-Swansea,43.64617568280419,-79.48832629901773,Entire home/apt,80,4,29,2018-06-29,0.40,1,36
153000,"1,100SqFt. 2B+D Green Technology Condo (Renovated)",735795,Raj,,Waterfront Communities-The Island,43.64366054378301,-79.39154741045502,Entire home/apt,248,3,43,2018-05-28,0.51,1,339
