id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.64617,-79.42451,Entire home/apt,469,4,7,2017-12-04,0.16,1,0
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64105,-79.37628,Private room,100,180,169,2013-08-27,1.45,2,0
12604,Seaton Village Parlour Bedroom,48239,Rona,,Annex,43.66724,-79.41598,Private room,67,1,0,,,1,0
23691,Queen Bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69602,-79.45468,Private room,70,1,207,2018-12-30,1.94,2,319
26654,"World Class downtown@ CN Tower! Jays, TIFF, ACC",113345,Adela,,Waterfront Communities-The Island,43.6453,-79.3894,Entire home/apt,200,3,36,2019-02-19,0.36,7,343
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,Greenwood-Coxwell,43.6689,-79.32592,Entire home/apt,54,120,26,2011-08-30,0.24,1,0
28160,"Luxury,Safety, Affordability For Women Travellers!",86838,Rita,,Mount Pleasant West,43.7041,-79.39026,Entire home/apt,80,30,7,2018-10-17,0.17,1,297
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64151,-79.37643,Entire home/apt,134,180,1,2010-08-11,0.01,2,365
40456,Entire Suite in Downtown+Parking,174063,Denis,,South Parkdale,43.63532,-79.44049,Entire home/apt,125,30,98,2018-10-28,0.94,3,0
41887,Great location,183071,Kyle,,Oakridge,43.69458,-79.28681,Entire home/apt,66,2,78,2018-11-26,2.82,2,93
43964,Bright entire 2-bedrm basement suite private entry,192364,Mitra,,Wexford/Maryvale,43.74858,-79.29111,Entire home/apt,110,2,25,2018-10-05,0.95,1,365
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Rosedale-Moore Park,43.67185,-79.38583,Entire home/apt,102,1,45,2019-01-15,0.44,12,365
44469,Yonge & Bloor 2 Bedroom Apartment,195095,Urbano,,Rosedale-Moore Park,43.67136,-79.38598,Private room,121,1,8,2017-08-27,0.09,12,340
45399,Fountain View Studio - Eaton center,195095,Urbano,,Church-Yonge Corridor,43.65972,-79.38172,Entire home/apt,110,1,65,2019-02-01,0.64,12,260
45453,Yonge & Bloor 2 Bedroom Master,195095,Urbano,,Rosedale-Moore Park,43.67191,-79.38585,Private room,99,1,9,2018-09-02,0.10,12,340
45893,Yonge & Bloor Lakeview Master BR  ,195095,Urbano,,Rosedale-Moore Park,43.67105,-79.38481,Private room,90,1,17,2018-09-23,0.17,12,364
50110,Yorkville one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66899,-79.38548,Entire home/apt,141,1,40,2019-01-02,0.40,12,341
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.64296,-79.40451,Private room,80,1,24,2018-11-11,0.77,1,90
57483,"Amazing downtown 3 Bed 2 Bath, CN Tower, Harbour",187320,Downtown Suite Living,,Waterfront Communities-The Island,43.64214,-79.37994,Entire home/apt,177,28,0,,,15,96
63395,Spacious 2 Bedroom Downtown Condo Financial Area,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.64527,-79.37615,Entire home/apt,141,60,1,2014-08-02,0.02,15,126
64003,Downtown Toronto 4BR Townhouse,312769,Jerome,,Moss Park,43.65955,-79.36701,Entire home/apt,350,3,80,2019-02-03,0.81,1,119
64641,Furnished Heritage Rooms Downtown,304551,Kintoo,,Niagara,43.6444,-79.40829,Private room,66,50,15,2017-06-30,0.15,4,340
65238,Zen South Facing Bedroom in Quiet Art-Filled Home,318911,Magali Michèle,,Palmerston-Little Italy,43.65853,-79.42709,Private room,56,2,52,2019-01-05,0.55,2,168
69464,Yonge & Bloor one bedroom Condo,195095,Urbano,,Rosedale-Moore Park,43.67094,-79.38581,Entire home/apt,145,1,37,2018-11-11,0.38,12,273
71118,Furnished Downtown Loft Suite,304551,Kintoo,,Niagara,43.64597,-79.40766,Private room,95,50,11,2018-08-18,0.12,4,310
75051,"GreatSpace,Backyard, 5min to Subway",368707,Sandra,,Dufferin Grove,43.65956,-79.43228,Entire home/apt,145,5,272,2018-08-04,2.80,1,71
84076,A short walk to TIFF,544254,Darryl,,Niagara,43.64457,-79.40451,Entire home/apt,145,3,6,2018-08-20,0.09,1,0
84151,North City View Yonge/Bloor,195095,Urbano,,Church-Yonge Corridor,43.67033,-79.38612,Entire home/apt,145,1,24,2017-07-02,0.26,12,361
89575,Private bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69662,-79.45325,Private room,60,1,82,2018-10-21,0.92,2,350
96336,John & Bren's Queen West 3 bedroom townhouse,511506,John,,Niagara,43.64458,-79.41022,Entire home/apt,218,3,106,2019-02-26,1.62,1,185
98136,Two Bedroom House on Toronto Island,518383,Anthea,,Waterfront Communities-The Island,43.63266,-79.35616,Entire home/apt,300,2,56,2019-01-20,0.60,1,88
104096,Hip and modern family-friendly home,349172,Avery,,South Riverdale,43.66527,-79.32934,Entire home/apt,175,5,17,2017-08-12,0.18,1,182
104722,Annex apartment - with great deck!,455397,Carly,,Annex,43.67175,-79.40398,Entire home/apt,159,2,6,2018-10-08,0.14,1,0
112842,Gorgeous Condo near High Park!!,575127,Micheline,,High Park North,43.65623,-79.46667,Entire home/apt,55,120,12,2017-03-05,0.14,1,186
113175,Best luxury location in downtown Toronto!,576192,Faria,,Waterfront Communities-The Island,43.64123,-79.39339,Entire home/apt,102,5,31,2019-01-03,0.33,1,188
119441,STYLISH  LAKEVIEW APT. +PARKING,174063,Denis,,South Parkdale,43.63559,-79.44048,Entire home/apt,250,90,76,2018-09-16,0.80,3,279
122492,Sunny & Stylish Aprtmnt w easy access to dwntwn,613837,Brett,,Danforth East York,43.68872,-79.3299,Entire home/apt,79,28,94,2018-08-13,1.32,1,188
127380,"pleasant apt, centrally located",630920,Peggy,,Yonge-Eglinton,43.7037,-79.4082,Private room,60,1,121,2018-10-23,1.33,1,360
131401,WATERFRONT LUXURY SUITE - DOWNTOWN,604233,WaterfrontExecSuites,,Niagara,43.63633,-79.40076,Entire home/apt,70,180,5,2019-01-30,0.11,1,187
137099,Beautiful 3 Bedroom Home in Little Italy!,149566,Vinita + Joe,,Palmerston-Little Italy,43.65781,-79.42065,Entire home/apt,240,5,10,2017-08-12,0.11,2,0
138006,History & Style in the Heart of Toronto.,605569,Daz & Lyli,,Church-Yonge Corridor,43.65687,-79.37495,Private room,83,2,268,2019-03-04,3.47,1,26
138613,Warm Family Home Downtown Toronto,676621,Jodi,,Little Portugal,43.64776,-79.42709,Entire home/apt,179,3,5,2016-10-07,0.05,1,0
146601,Modern 1BR Downtown - Blue Jays Way,436139,Brian,,Waterfront Communities-The Island,43.64551,-79.39274,Entire home/apt,121,6,7,2015-06-28,0.08,1,66
148945,Downtown Toronto Near Lake Ontario,718884,John,,Waterfront Communities-The Island,43.64835,-79.36302,Private room,80,3,22,2018-03-31,0.24,1,280
149420,Bloor West Village 1 Bedroom ,666759,Jeannie,,High Park-Swansea,43.64618,-79.48833,Entire home/apt,80,4,29,2018-06-29,0.36,1,218
