id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.646167661556824,-79.42451012783086,Entire home/apt,469,4,7,2017-12-04,0.17,1,0
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64105126982716,-79.37627700577787,Private room,98,180,170,2013-08-27,1.52,2,365
10314,Union Inn II (Leslieville),35505,Douglas & Annie,,South Riverdale,43.670185503701774,-79.33584783585275,Private room,69,1,77,2016-08-18,0.69,1,340
12604,Seaton Village Parlour Bedroom,48239,Rona,,Annex,43.667240686103376,-79.41597756109105,Private room,66,1,0,,,1,0
23691,Queen Bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69601674127723,-79.4546827470826,Private room,69,1,204,2018-10-14,1.99,2,350
26654,"World Class downtown@ CN Tower! Jays, TIFF, ACC",113345,Adela,,Waterfront Communities-The Island,43.64530469992652,-79.3894036218733,Entire home/apt,199,5,35,2018-10-23,0.37,7,332
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,Greenwood-Coxwell,43.66890104035062,-79.32592045066609,Entire home/apt,54,120,26,2011-08-30,0.25,1,0
28160,"Luxury,Safety, Affordability For Women Travellers!",86838,Rita,,Mount Pleasant West,43.70410154158459,-79.3902626406518,Entire home/apt,66,28,7,2018-10-17,0.18,1,360
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.641512065757325,-79.37643460038227,Entire home/apt,131,180,1,2010-08-11,0.01,2,365
40456,Entire Suite in Downtown+Parking,174063,Denis,,South Parkdale,43.63532282971682,-79.44049289722096,Entire home/apt,125,28,98,2018-10-01,0.97,3,177
41887,Great location,183071,Kyle,,Oakridge,43.69458078816815,-79.28680598689006,Entire home/apt,66,2,76,2018-10-21,3.22,2,184
42892,Downtown 2 Bedroom + Den next to Union & Harbour,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.64451421046904,-79.38184533849807,Entire home/apt,135,28,0,,,18,333
43964,Bright entire 2-bedrm basement suite private entry,192364,Mitra,,Wexford/Maryvale,43.74858426311882,-79.29111476151608,Entire home/apt,110,2,25,2018-10-05,1.12,1,365
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Rosedale-Moore Park,43.67184558616503,-79.38583124645538,Entire home/apt,130,1,43,2018-09-24,0.44,13,365
44469,Yonge & Bloor 2 Bedroom Apartment,195095,Urbano,,Rosedale-Moore Park,43.67136294798986,-79.38597924665137,Private room,121,1,8,2017-08-27,0.09,13,308
45399,Fountain View Studio - Eaton center,195095,Urbano,,Church-Yonge Corridor,43.659718712346795,-79.38171592414366,Entire home/apt,121,1,62,2018-09-15,0.63,13,357
45453,Yonge & Bloor 2 Bedroom Master,195095,Urbano,,Rosedale-Moore Park,43.67191110057963,-79.38584832890584,Private room,121,1,9,2018-09-02,0.10,13,308
45893,Yonge & Bloor Lakeview Master BR  ,195095,Urbano,,Rosedale-Moore Park,43.671049109962105,-79.38480983819419,Private room,110,1,18,2018-09-23,0.18,13,354
50110,Yorkville one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66898642118456,-79.38547683587745,Entire home/apt,121,1,37,2018-09-23,0.38,13,326
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.642957070445036,-79.4045082155761,Private room,80,1,23,2018-10-12,0.84,1,88
57483,Downtown 2 Bed @ Union & Harbourfront,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.64214260947805,-79.37993980845569,Entire home/apt,130,28,0,,,18,180
